text,created_at,context_annotations,predicted_sentiment
idk why i m full of energy and a strong desire to watch revice maybe in the morning when i can grab proper workout clothes i ll go to the gym and do just that ,2024-12-04 02:26:53,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697289971322880', 'name': 'Sports & Fitness Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847872878041219072', 'name': 'Fitness', 'description': 'Exercise and fitness'}}, {'domain': {'id': '162', 'name': 'Exercise & fitness', 'description': 'for types of exercises& fitness and moves, e.g., yoga, crunches, squats '}, 'entity': {'id': '872554146750017536', 'name': 'Exercises', 'description': 'Exercises'}}]",0
 dailygavv gavv gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt 01 saber revice geats gotchard,2024-12-04 02:21:33,[],0
 anyone got their favourite kamen rider series i should watch so far finished decade w double ooo fourze wizard gaim drive ex aid build zi o revice and geats currently watching gotchard,2024-12-04 01:34:51,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10054414590', 'name': '仮面ライダージオウ', 'description': '仮面ライダージオウが、時空を巡る""タイムトラベルライダー""として歴代平成ライダーと出会い、彼らの力と的に共に戦う「最後の平成ライダー」。高校生のソウゴ(奥野壮)は、2068年からやってきたゲイツ(押田岳)、ツクヨミ(大幡しえり)から「50年後""魔王オーマジオウ""となり、世界を支配する」と聞かされ、時空をかける戦いに身を投じていく。\n\n@toei_rider_ZIOさんの画像'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074757527995277313', 'name': 'Entertainment franchises'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1207744369144414208', 'name': 'Kamen Rider'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1248370550247849988', 'name': 'Tokusatsu'}}]",1
its going to be revice https t co 2m9opth7pk https t co sefrxgq9iq,2024-12-04 01:22:19,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}]",0
 kujolupin galvanlazarus bromojumbo i also had a tinkatonk and named her aguilera from revice xd,2024-12-04 00:25:25,[],1
 dailygavv i just hope that it won t ended up being like revice i love it half through the series but then it broke my heart with constant flop ,2024-12-03 23:07:18,[],1
 lowlyphantom05 geats is pretty good revice kinda falls off saber i haven t watched much zero one wasn t bad but i quit it because it didn t feel like it was going anywhere,2024-12-03 21:00:57,[],0
check out revice 90 s baby criss cross asymmetric button fly tapered acid wash jeans 26 https t co mrz4mroujw ebay via ebay,2024-12-03 20:07:21,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '783335558466506752', 'name': 'Online - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10032682179', 'name': 'eBay'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10032682179', 'name': 'eBay'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1407811550987972617', 'name': 'Industries'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1407812892909473795', 'name': 'eCommerce industry'}}]",0
 offfhandway revice gavv and ooo are at the top ,2024-12-03 19:23:59,[],1
 dailygavv the strongest showing for a reiwa season since revice it has a fight direction that makes the overreliance on special attacks in open areas of past seasons feel outdated comparatively and the slower pacing has allowed the leads a lot of time to build their dynamic ,2024-12-03 17:40:11,[],1
